NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,AVG,MIN,MAX,delay_0-0.1,delay_0.1-0.3,delay_0.3-1,delay_1-3,delay_3-10,delay_10-30,delay_30-100,gt100,IdLogNum,FailureDescription
X13146PAZ,97673,1/7/100,2019-03-25 00:00:00,24,Near End,GE0152-TN01.1,AMM 6PC,-,1,0,24,86397,0,0,0,0,0,0,0,0,-
X13146PAZ,97675,1/7/100,2019-03-25 00:00:00,24,Near End,GE0154-TN01.1,AMM 6PC,-,1,0,33,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97675,1/7/101,2019-03-25 00:00:00,24,Near End,GE0154-TN01.1,AMM 6PC,-,0,0,100,85991,409,0,0,0,0,0,0,0,-
X13146PAZ,97635,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,MH9614-TN01.1,AMM 20PB,-,-,-,-,-,-,-,-,-,-,-,-,0,PM failure unspecified error
X13146PAZ,97691,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STO0580-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97690,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STO0576-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97694,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STO0573-2.1,MINI-LINK 6692,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97693,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STO0575-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97683,1/7/100 'JC0486-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,JC0486-TN01.1,AMM 6PC,-,1,0,34,86401,0,0,0,0,0,0,0,0,-
X13146PAZ,97665,1/7/100 'CC0681-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,CC0681-TN01.1,AMM 6PC,-,1,0,37,86399,0,0,0,0,0,0,0,0,-
X13146PAZ,97660,1/7/100 'TJ0444_MW02-TJ0443_MW01'PacketLinks,2019-03-25 00:00:00,24,Near End,TJ0444-MW02.1,AMM 6PC,-,1,0,100,67995,217,0,0,0,0,0,0,0,PM Failure - NE PM data is invalid
X13146PAZ,97692,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STO0577-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97695,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STO0578-2.1,MINI-LINK 6692,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97697,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,STO0566-1.1,MINI-LINK 6691,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,97637,1/7/103 'Mot_MH9614-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,MN0017-TN01.1,AMM 6PC,-,1,0,20,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97637,1/7/102,2019-03-25 00:00:00,24,Near End,MN0017-TN01.1,AMM 6PC,-,1,0,19,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97637,1/7/101PacketLinks=1/3/1,2019-03-25 00:00:00,24,Near End,MN0017-TN01.1,AMM 6PC,-,1,0,14,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97638,1/7/102 'Towards_MN0018-TN01'PacketLinks=1/4,2019-03-25 00:00:00,24,Near End,MN0019-TN01.1,AMM 6PC,-,1,0,11,86398,0,0,0,0,0,0,0,0,-
X13146PAZ,97638,1/7/101 'Towards_MN0020-TN01'PacketLinks=1/3,2019-03-25 00:00:00,24,Near End,MN0019-TN01.1,AMM 6PC,-,1,0,17,86398,0,0,0,0,0,0,0,0,-
X13146PAZ,97638,1/7/100 'Towards_MH9614-TN01'PacketLinks=1/2,2019-03-25 00:00:00,24,Near End,MN0019-TN01.1,AMM 6PC,-,1,0,18,86398,0,0,0,0,0,0,0,0,-
X13146PAZ,97699,1/7/100 'CW0277-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,CW0277-TN01.1,AMM 6PC,-,1,0,42,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97700,1/7/100 'CS0080-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,CS0080-TN01.1,AMM 6PC,-,1,0,39,86401,0,0,0,0,0,0,0,0,-
X13146PAZ,97705,1/7/100 'JC0523-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,JC0523-TN01.1,AMM 6PC,-,1,0,29,86401,0,0,0,0,0,0,0,0,-
X13146PAZ,97706,1/7/100 'JC0058-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,JC0058-TN01.1,AMM 6PC,-,1,0,26,86401,0,0,0,0,0,0,0,0,-
X13146PAZ,97722,1/7/100 'CH9025-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,CW0212-TN01.1,AMM 6PC,-,1,0,40,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97709,1/7/100,2019-03-25 00:00:00,24,Near End,SS0256-TN01.1,AMM 6PC,-,0,0,0,86396,0,0,0,0,0,0,0,0,-
X13146PAZ,97728,1/7/100 'JE0319-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,JE0319-TN01.1,AMM 6PC,-,1,0,7,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97724,1/7/100,2019-03-25 00:00:00,24,Near End,TL0613-MW01.1,AMM 6PC,-,0,0,0,86395,0,0,0,0,0,0,0,0,-
X13146PAZ,97710,1/7/100PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,JN0230-TN01.1,AMM 6PC,-,1,0,28,86399,0,0,0,0,0,0,0,0,-
X13146PAZ,97727,1/7/100 'JE0075-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,JE0075-TN01.1,AMM 6PC,-,1,0,44,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97742,1/7/100 'CW0280-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,CW0280-TN01.1,AMM 6PC,-,1,0,41,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97725,1/7/101,2019-03-25 00:00:00,24,Near End,TN9229-MW03.1,AMM 6PC,-,1,0,100,86398,2,0,0,0,0,0,0,0,-
X13146PAZ,97725,1/7/100,2019-03-25 00:00:00,24,Near End,TN9229-MW03.1,AMM 6PC,-,1,0,100,86399,1,0,0,0,0,0,0,0,-
X13146PAZ,97726,1/7/100,2019-03-25 00:00:00,24,Near End,TN0230-TN01.1,AMM 6PC,-,0,0,0,86395,0,0,0,0,0,0,0,0,-
X13146PAZ,97730,1/7/100 'JN0110towardsJN0249'PacketLinks=1/2,2019-03-25 00:00:00,24,Near End,JN0110-TN01.1,AMM 6PC,-,1,0,37,86399,0,0,0,0,0,0,0,0,-
X13146PAZ,97743,1/7/100 'CC0132towardsCH9040-TN01'PacketLink,2019-03-25 00:00:00,24,Near End,CC0132-TN01.1,AMM 6PC,-,1,0,37,86399,0,0,0,0,0,0,0,0,-
X13146PAZ,97748,1/7/100 'CS0014modCS0044-TN01'PacketLinks=1/,2019-03-25 00:00:00,24,Near End,CS0014-TN01.1,AMM 6PC,-,1,0,29,86401,0,0,0,0,0,0,0,0,-
X13146PAZ,97748,1/7/101 'CS0014modCS0076-TN01'PacketLinks=1/,2019-03-25 00:00:00,24,Near End,CS0014-TN01.1,AMM 6PC,-,1,0,8,86401,0,0,0,0,0,0,0,0,-
X13146PAZ,97747,1/7/100 'CC0311TowardsCC0332'PacketLinks=1/2,2019-03-25 00:00:00,24,Near End,CC0311-TN01.1,AMM 6PC,-,1,0,35,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97756,1/7/100 'JN0461-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,JN0461-TN01.1,AMM 6PC,-,1,0,47,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97746,1/7/104,2019-03-25 00:00:00,24,Near End,GC0074-TN01.1,AMM 6PD,-,2,0,17,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97755,1/7/100 'SJN0088-TN01'PacketLinks=1/2/1,2019-03-25 00:00:00,24,Near End,JN0088-TN01.1,AMM 6PC,-,1,0,9,86401,0,0,0,0,0,0,0,0,-
X13146PAZ,97763,1/7/100,2019-03-25 00:00:00,24,Near End,GE0206-TN01.1,AMM 6PC,-,1,0,28,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,97757,1/7/100 'JC0397towardsJH9515-TN01'PacketLink,2019-03-25 00:00:00,24,Near End,JC0397-TN01.1,AMM 6PC,-,1,0,40,86401,0,0,0,0,0,0,0,0,-
X13146PAZ,97765,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,SE0145-TN01.1,AMM 6PC,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Failure - File Transfer Failed
