NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,AVG,MIN,MAX,delay_0-0.1,delay_0.1-0.3,delay_0.3-1,delay_1-3,delay_3-10,delay_10-30,delay_30-100,gt100,IdLogNum,FailureDescription
X13146PAZ,5002,1/11/116,2019-03-25 00:00:00,24,Near End,GE0097-TN02.1,AMM 20PB,-,346,0,14148,60866,16565,6295,2216,454,4,0,0,0,-
X13146PAZ,5002,1/11/106,2019-03-25 00:00:00,24,Near End,GE0097-TN02.1,AMM 20PB,-,1,0,100,85736,664,0,0,0,0,0,0,0,-
X13146PAZ,5002,1/11/105,2019-03-25 00:00:00,24,Near End,GE0097-TN02.1,AMM 20PB,-,1,0,100,85619,781,0,0,0,0,0,0,0,-
X13146PAZ,5002,1/11/103,2019-03-25 00:00:00,24,Near End,GE0097-TN02.1,AMM 20PB,-,824,0,29681,49813,16501,11679,5087,3023,297,0,0,0,PM Failure - NE PM data is invalid
X13146PAZ,5013,1/7/103,2019-03-25 00:00:00,24,Near End,GC0052-TN01.1,AMM 6PC,-,196,0,19463,72687,10075,2587,856,180,11,0,0,0,-
X13146PAZ,5013,1/7/101,2019-03-25 00:00:00,24,Near End,GC0052-TN01.1,AMM 6PC,-,418,0,23898,70660,7718,5911,1443,627,37,0,0,0,-
X13146PAZ,5018,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,GC0082-TN01.1,AMM 6PC,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Failure - File Transfer Failed
X13146PAZ,5016,1/7/100,2019-03-25 00:00:00,24,Near End,GC0185-TN01.1,AMM 6PC,-,8,0,57,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,5016,1/7/101,2019-03-25 00:00:00,24,Near End,GC0185-TN01.1,AMM 6PC,-,5,0,25,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,5017,1/7/100,2019-03-25 00:00:00,24,Near End,GCi012-TN01.1,AMM 6PC,-,2,0,100,86264,136,0,0,0,0,0,0,0,-
X13146PAZ,5020,1/7/101,2019-03-25 00:00:00,24,Near End,GC0068-TN01.1,AMM 6PC,-,17,0,1848,86147,192,56,5,0,0,0,0,0,-
X13146PAZ,5020,1/7/100,2019-03-25 00:00:00,24,Near End,GC0068-TN01.1,AMM 6PC,-,3,0,172,86353,47,0,0,0,0,0,0,0,-
X13146PAZ,5023,1/7/100,2019-03-25 00:00:00,24,Near End,GC0056-TN01.1,AMM 6PC,-,2,0,101,86397,3,0,0,0,0,0,0,0,-
X13146PAZ,5012,1/11/106,2019-03-25 00:00:00,24,Near End,GH9007-TN01.1,AMM 20PB,-,1,0,100,86139,259,0,0,0,0,0,0,0,-
X13146PAZ,5012,1/11/110,2019-03-25 00:00:00,24,Near End,GH9007-TN01.1,AMM 20PB,-,248,0,24633,71353,9755,3841,1059,347,43,0,0,0,-
X13146PAZ,5012,1/11/101,2019-03-25 00:00:00,24,Near End,GH9007-TN01.1,AMM 20PB,-,160,0,15620,71030,11828,2580,782,160,18,0,0,0,-
X13146PAZ,5012,1/11/118,2019-03-25 00:00:00,24,Near End,GH9007-TN01.1,AMM 20PB,-,1,0,100,86105,293,0,0,0,0,0,0,0,-
X13146PAZ,5012,1/11/112,2019-03-25 00:00:00,24,Near End,GH9007-TN01.1,AMM 20PB,-,295,0,22899,59030,16814,7041,2221,1185,107,0,0,0,-
X13146PAZ,5012,1/11/114,2019-03-25 00:00:00,24,Near End,GH9007-TN01.1,AMM 20PB,-,1,0,100,86125,273,0,0,0,0,0,0,0,-
X13146PAZ,5026,1/7/100,2019-03-25 00:00:00,24,Near End,GC0004-TN01.1,AMM 6PC,-,4,0,324,86298,100,2,0,0,0,0,0,0,-
X13146PAZ,5029,1/7/101,2019-03-25 00:00:00,24,Near End,GC0034-TN01.1,AMM 6PC,-,192,0,18184,79175,4235,2275,526,175,14,0,0,0,-
X13146PAZ,5032,1/7/101,2019-03-25 00:00:00,24,Near End,GC0007-TN01.1,AMM 6PC,-,3,0,100,86390,10,0,0,0,0,0,0,0,-
X13146PAZ,5034,1/7/100,2019-03-25 00:00:00,24,Near End,GC0061-TN01.1,AMM 6PC,-,3,0,229,86321,79,0,0,0,0,0,0,0,-
X13146PAZ,5035,1/7/100,2019-03-25 00:00:00,24,Near End,GC0001-TN01.1,AMM 6PC,-,2,0,100,86268,132,0,0,0,0,0,0,0,-
X13146PAZ,5024,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,GC0037-TN01.1,AMM 6PC,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
X13146PAZ,5037,1/7/100,2019-03-25 00:00:00,24,Near End,GC0088-TN01.1,AMM 6PC,-,2,0,54,86396,0,0,0,0,0,0,0,0,-
X13146PAZ,5038,1/7/100,2019-03-25 00:00:00,24,Near End,GC0090-TN01.1,AMM 6PD,-,2,0,132,86369,26,0,0,0,0,0,0,0,-
X13146PAZ,5028,1/7/100,2019-03-25 00:00:00,24,Near End,GC0146-TN01.1,AMM 6PC,-,2,0,100,86391,9,0,0,0,0,0,0,0,-
X13146PAZ,5039,1/7/100,2019-03-25 00:00:00,24,Near End,GC0055-TN01.1,AMM 6PC,-,2,0,253,86369,31,0,0,0,0,0,0,0,-
X13146PAZ,5033,1/7/101,2019-03-25 00:00:00,24,Near End,GC0006-TN01.1,AMM 6PC,-,311,0,19795,62412,13360,7731,2203,658,36,0,0,0,-
X13146PAZ,5041,1/7/102,2019-03-25 00:00:00,24,Near End,GC0147-TN01.1,AMM 6PD,-,3,0,229,86349,51,0,0,0,0,0,0,0,-
X13146PAZ,5041,1/7/101,2019-03-25 00:00:00,24,Near End,GC0147-TN01.1,AMM 6PD,-,95,0,15840,85124,753,372,91,58,2,0,0,0,-
X13146PAZ,5047,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,GC0053-TN01.1,AMM 6PC,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Failure - File Transfer Failed
X13146PAZ,5045,1/7/100,2019-03-25 00:00:00,24,Near End,GC0209-TN01.1,AMM 6PC,-,508,0,29961,61877,12206,6122,3868,2282,45,0,0,0,-
X13146PAZ,5040,1/7/102,2019-03-25 00:00:00,24,Near End,GC0030-TN01.1,AMM 6PC,-,278,0,18534,79174,4260,1870,710,358,28,0,0,0,-
X13146PAZ,5040,1/7/100,2019-03-25 00:00:00,24,Near End,GC0030-TN01.1,AMM 6PC,-,392,0,19212,58039,14339,10581,2817,577,47,0,0,0,-
X13146PAZ,5049,1/7/100,2019-03-25 00:00:00,24,Near End,GC0089-TN01.1,AMM 6PD,-,5,0,71,86400,0,0,0,0,0,0,0,0,-
X13146PAZ,5048,1/7/101,2019-03-25 00:00:00,24,Near End,GC0054-TN01.1,AMM 6PD,-,480,0,30089,45135,25480,11498,2747,1311,227,2,0,0,-
X13146PAZ,5048,1/7/100,2019-03-25 00:00:00,24,Near End,GC0054-TN01.1,AMM 6PD,-,370,0,25751,57716,18840,6592,2423,710,119,0,0,0,-
X13146PAZ,5042,1/7/100,2019-03-25 00:00:00,24,Near End,GH9015-TN01.1,AMM 6PD,-,308,0,15794,79495,3993,2025,624,224,39,0,0,0,-
X13146PAZ,5042,1/7/103,2019-03-25 00:00:00,24,Near End,GH9015-TN01.1,AMM 6PD,-,179,0,14622,75990,7013,2344,857,182,14,0,0,0,-
X13146PAZ,5044,Unreachable Bulk FC,2019-03-25 00:00:00,24,Near End,GC0178-TN01.1,AMM 6PC,-,-,-,-,-,-,-,-,-,-,-,-,0,PM Failure - File Transfer Failed
X13146PAZ,5050,1/7/100,2019-03-25 00:00:00,24,Near End,GC0135-TN01.1,AMM 6PD,-,2,0,164,86286,110,0,0,0,0,0,0,0,-
X13146PAZ,5069,1/7/100,2019-03-25 00:00:00,24,Near End,GC0188-TN01.1,AMM 6PC,-,2,0,192,86336,64,0,0,0,0,0,0,0,-
X13146PAZ,5071,1/7/100,2019-03-25 00:00:00,24,Near End,GC0126-TN01.1,AMM 6PC,-,158,0,22391,77669,5495,2244,885,99,8,0,0,0,-
X13146PAZ,5070,1/7/102,2019-03-25 00:00:00,24,Near End,GC0095-TN01.1,AMM 6PC,-,11,0,100,86397,3,0,0,0,0,0,0,0,-
X13146PAZ,5070,1/7/101,2019-03-25 00:00:00,24,Near End,GC0095-TN01.1,AMM 6PC,-,4,0,100,86386,14,0,0,0,0,0,0,0,-
X13146PAZ,5070,1/7/100,2019-03-25 00:00:00,24,Near End,GC0095-TN01.1,AMM 6PC,-,3,0,237,86353,47,0,0,0,0,0,0,0,-
X13146PAZ,5072,1/7/100,2019-03-25 00:00:00,24,Near End,GC0189-TN01.1,AMM 6PC,-,3,0,157,86333,67,0,0,0,0,0,0,0,-
X13146PAZ,5074,1/7/103,2019-03-25 00:00:00,24,Near End,GC0201-TN01.1,AMM 6PC,-,68,0,4787,84909,976,403,96,16,0,0,0,0,-
X13146PAZ,5074,1/7/100,2019-03-25 00:00:00,24,Near End,GC0201-TN01.1,AMM 6PC,-,2,0,122,86390,10,0,0,0,0,0,0,0,-
X13146PAZ,5076,1/7/100,2019-03-25 00:00:00,24,Near End,GC0100-TN01.1,AMM 6PC,-,3,0,254,86325,74,0,0,0,0,0,0,0,-
X13146PAZ,5077,1/7/100,2019-03-25 00:00:00,24,Near End,GC0097-TN01.1,AMM 6PC,-,2,0,193,86365,35,0,0,0,0,0,0,0,-
X13146PAZ,5084,1/7/100,2019-03-25 00:00:00,24,Near End,GC0096-TN01.1,AMM 6PC,-,276,0,25363,71300,7772,5034,1857,405,32,0,0,0,-
X13146PAZ,5085,1/7/100,2019-03-25 00:00:00,24,Near End,GE0004-TN01.1,AMM 6PC,-,3,0,192,86274,126,0,0,0,0,0,0,0,-
X13146PAZ,5082,1/7/101,2019-03-25 00:00:00,24,Near End,GC0202-TN01.1,AMM 6PC,-,2,0,116,86375,25,0,0,0,0,0,0,0,-
X13146PAZ,5088,1/7/100,2019-03-25 00:00:00,24,Near End,GC0072-TN01.1,AMM 6PD,-,2,0,140,86364,36,0,0,0,0,0,0,0,-
X13146PAZ,5093,1/7/100,2019-03-25 00:00:00,24,Near End,GE0016-TN01.1,AMM 6PC,-,293,0,11299,64183,10987,9932,1157,135,6,0,0,0,-
X13146PAZ,5081,1/11/102,2019-03-25 00:00:00,24,Near End,GH9010-TN01.1,AMM 20PB,-,302,0,27888,66051,14272,4360,1297,369,48,0,0,0,-
X13146PAZ,5081,1/11/100,2019-03-25 00:00:00,24,Near End,GH9010-TN01.1,AMM 20PB,-,435,0,19624,55339,17973,8290,4033,718,44,0,0,0,-
X13146PAZ,5081,1/11/112,2019-03-25 00:00:00,24,Near End,GH9010-TN01.1,AMM 20PB,-,392,0,13976,68291,10115,5859,1841,285,6,0,0,0,-
X13146PAZ,5081,1/11/107,2019-03-25 00:00:00,24,Near End,GH9010-TN01.1,AMM 20PB,-,386,0,18739,80887,3506,1219,434,341,10,0,0,0,-
X13146PAZ,5081,1/11/105,2019-03-25 00:00:00,24,Near End,GH9010-TN01.1,AMM 20PB,-,267,0,16171,54176,23749,6401,1542,497,32,0,0,0,-
